id,name,name1,active,size,rank
0560101,砺波平野断層帯・呉羽山断層帯,砺波平野断層帯西部,-,M7.2程度,A*ランク
0560201,砺波平野断層帯・呉羽山断層帯,砺波平野断層帯東部,-,M7.0程度,S*ランク
0560301,砺波平野断層帯・呉羽山断層帯,呉羽山断層帯,-,M7.2程度,S*ランク
0570101,森本・富樫断層帯,-,-,M7.2程度,S*ランク
0580101,福井平野東縁断層帯,主部,-,M7.6程度,Zランク
0580201,福井平野東縁断層帯,西部,-,M7.1程度,Xランク
0590101,長良川上流断層帯,-,-,M7.3程度,Xランク
0600101,濃尾断層帯,温見断層,北西部,M6.8程度,Zランク
0600102,濃尾断層帯,温見断層,南東部,M7.0程度,Xランク
0600201,濃尾断層帯,主部,根尾谷断層帯,M7.3程度,Zランク
0600202,濃尾断層帯,主部,梅原断層帯,M7.4程度,Zランク
0600203,濃尾断層帯,主部,三田洞断層帯,M7.0程度,Xランク
0600301,濃尾断層帯,揖斐川断層帯,-,M7.1程度,Xランク
0600401,濃尾断層帯,武儀川断層,-,M7.3程度,Xランク
0610101,柳ヶ瀬・関ヶ原断層帯,主部,北部,M7.6程度,Zランク
0610102,柳ヶ瀬・関ヶ原断層帯,主部,中部,M6.6程度,Xランク
0610103,柳ヶ瀬・関ヶ原断層帯,主部,南部,M7.6程度,Xランク
0610201,柳ヶ瀬・関ヶ原断層帯,浦底-柳ヶ瀬山断層帯,-,M7.2程度,Xランク
0630101,野坂・集福寺断層帯,野坂断層帯,-,M7.3程度,Zランク
0630201,野坂・集福寺断層帯,集福寺断層,-,M6.5程度,Xランク
0640101,湖北山地断層帯,北西部,-,M7.2程度,Zランク
0640201,湖北山地断層帯,南東部,-,M6.8程度,Zランク
0650101,琵琶湖西岸断層帯,-,北部,M7.1程度,Sランク
0650102,琵琶湖西岸断層帯,-,南部,M7.5程度,Zランク
0670101,養老-桑名-四日市断層帯,-,-,M8程度,Aランク
0680101,鈴鹿東縁断層帯,-,-,M7.5程度,Zランク
0690101,鈴鹿西縁断層帯,-,-,M7.6程度,Aランク
0700101,頓宮断層,-,-,M7.3程度,A*ランク
0710101,布引山地東縁断層帯,西部,-,M7.4程度,A*ランク
0710201,布引山地東縁断層帯,東部,-,M7.6程度,Zランク
0720101,木津川断層帯,-,-,M7.3程度,Zランク
0730101,三方・花折断層帯,三方断層帯,-,M7.2程度,Zランク
0730201,三方・花折断層帯,花折断層帯,北部,M7.2程度,Xランク
0730202,三方・花折断層帯,花折断層帯,中部,M7.3程度(中南部として),中南部としてA*ランク
0730203,三方・花折断層帯,花折断層帯,南部,M7.3程度(中南部として),中南部としてA*ランク
0740101,山田断層帯,主部,-,M7.4程度,Xランク
0740201,山田断層帯,郷村断層帯,-,M7.4程度もしくはそれ以上,Zランク
0750101,奈良盆地東縁断層帯,-,-,M7.4程度,S*ランク
0760101,有馬-高槻断層帯,-,-,M7.5程度(7.0-8.0),Zランク
0770101,生駒断層帯,-,-,M7.0-7.5程度,Aランク
0780101,三峠・京都西山断層帯,上林川断層,-,M7.2程度,Xランク
0780201,三峠・京都西山断層帯,三峠断層,-,M7.2程度,Aランク
0780301,三峠・京都西山断層帯,京都西山断層帯,-,M7.5程度,A*ランク
0790101,六甲・淡路島断層帯,主部,六甲山地南縁-淡路島東岸,M7.9程度,Aランク
0790102,六甲・淡路島断層帯,主部,淡路島西岸,M7.1程度,Zランク
0790201,六甲・淡路島断層帯,先山断層帯,-,M6.6程度,Zランク
0800101,上町断層帯,-,-,M7.5程度,S*ランク
0810101,中央構造線断層帯,-,金剛山地東縁区間,M6.8程度,Zランク
0810102,中央構造線断層帯,-,五条谷区間,M7.3程度,Xランク
0810103,中央構造線断層帯,-,根来区間,M7.2程度,Aランク
0810104,中央構造線断層帯,-,紀淡海峡-鳴門海峡区間,M7.5程度,Aランク
0810105,中央構造線断層帯,-,讃岐山脈南縁東部区間,M7.7程度,Aランク
0810106,中央構造線断層帯,-,讃岐山脈南縁西部区間,M8.0程度もしくはそれ以上,Aランク
0810107,中央構造線断層帯,-,石鎚山脈北縁区間,M7.3程度,Zランク
0810108,中央構造線断層帯,-,石鎚山脈北縁西部区間,M7.5程度,S*ランク
0810109,中央構造線断層帯,-,伊予灘区間,M8.0程度もしくはそれ以上,Zランク
0810110,中央構造線断層帯,-,豊予海峡－由布院区間,M7.8程度,Zランク
0820101,山崎断層帯,那岐山断層帯,-,M7.3程度,Aランク
0820201,山崎断層帯,主部,北西部,M7.7程度,Aランク
0820202,山崎断層帯,主部,南東部,M7.3程度,Zランク
0820301,山崎断層帯,草谷断層,-,M6.7程度,Zランク
0840101,長尾断層帯,-,-,M7.3程度,Zランク
0870101,岩国-五日市断層帯,-,五日市断層区間,M7.2程度,Xランク
0870102,岩国-五日市断層帯,-,己斐断層区間,M7.1程度,Xランク
0870103,岩国-五日市断層帯,-,岩国断層区間,M7.6程度,A*ランク
0900101,菊川断層帯,-,北部,M7.7程度,Xランク
0900102,菊川断層帯,-,中部,M7.6程度,S*ランク
0900103,菊川断層帯,-,南部,M6.9程度もしくはそれ以上,Xランク
0910101,西山断層帯,大島沖区間,-,M7.5程度,Xランク
0910102,西山断層帯,西山区間,-,M7.6程度,Xランク
0910103,西山断層帯,嘉麻峠区間,-,M7.3程度,Xランク
0930101,布田川断層帯,-,布田川区間,M7.0程度,Zランク
0930102,布田川断層帯,-,宇土区間,M7.0程度,Xランク
0930103,布田川断層帯,-,宇土半島北岸区間,M7.2程度以上,Xランク
0930201,日奈久断層帯,-,高野-白旗区間,M6.8程度,Xランク
0930202,日奈久断層帯,-,日奈久区間,M7.5程度,S*ランク
0930203,日奈久断層帯,-,八代海区間,M7.3程度,S*ランク
0940101,水縄断層帯,-,-,M7.2程度,Zランク
0950101,雲仙断層群,北部,-,M7.3程度以上,Xランク
0950201,雲仙断層群,南東部,-,M7.1程度,Xランク
0950301,雲仙断層群,南西部,北部,M7.3程度,S*ランク
0950302,雲仙断層群,南西部,南部,M7.1程度,Aランク
0960101,出水断層帯,-,-,M7.0程度,A*ランク
0970101,伊勢湾断層帯,主部,北部,M7.2程度,Zランク
0970102,伊勢湾断層帯,主部,南部,M6.9程度,Zランク
0970201,伊勢湾断層帯,白子-野間断層,-,M7.0程度,A*ランク
0980101,大阪湾断層帯,-,-,M7.5程度,Zランク
0990101,サロベツ断層帯,-,-,M7.6程度,S*ランク
1010101,花輪東断層帯,-,-,M7.0程度,Aランク
1020101,高田平野断層帯,高田平野西縁断層帯,-,M7.3程度,Zランク
1020201,高田平野断層帯,高田平野東縁断層帯,-,M7.2程度,S*ランク
1030101,六日町断層帯,-,北部,M7.1程度,Aランク（ケース1）、Zランク(ケース2)
1030102,六日町断層帯,-,南部,M7.3程度,Zランク
1040101,曽根丘陵断層帯,-,-,M7.3程度,Aランク
1050101,魚津断層帯,-,-,M7.3程度,Aランク
1060101,周防灘断層帯,-,周防灘断層帯主部区間,M7.6程度,S*ランク
1060102,周防灘断層帯,-,秋穂沖断層区間,M7.1程度,Xランク
1070101,安芸灘断層帯,-,-,M7.2程度,S*ランク
1070201,広島湾-岩国沖断層帯,-,-,M7.5程度,Xランク
1080101,警固断層帯,-,北西部,M7.0程度,Xランク
1080102,警固断層帯,-,南東部,M7.2程度,S*ランク
1090101,人吉盆地南縁断層,-,-,M7.1程度,A*ランク
1100101,宮古島断層帯,中部,-,M7.2程度もしくはそれ以上,Xランク
1100201,宮古島断層帯,西部,-,M6.9程度もしくはそれ以上,Xランク
1110101,日出生断層帯,-,-,M7.5程度,Zランク
1120101,万年山－崩平山断層帯,-,-,M7.3程度,Zランク
2010101,小倉東断層,-,-,M7.1程度,Xランク
2020101,福智山断層帯,-,-,M7.2程度,S*ランク
2030101,宇美断層,-,-,M7.1程度,Zランク
2040101,日向峠-小笠木峠断層帯,-,-,M7.2程度,Xランク
2050101,佐賀平野北縁断層帯,-,-,M7.5程度,Aランク
2060101,緑川断層帯,-,-,M7.4程度,Zランク
2070101,甑断層帯,上甑島北東沖区間,-,M6.9程度,Xランク
2070102,甑断層帯,甑区間,-,M7.5程度,Aランク
2080101,市来断層帯,市来区間,-,M7.2程度,Xランク
2080102,市来断層帯,甑海峡中央区間,-,M7.5程度,Xランク
2080103,市来断層帯,吹上浜西方沖区間,-,M7.0程度以上,Xランク
2090101,糸島半島沖断層群,-,-,M6.8程度(簡便な評価),-
2100101,佐賀関断層,-,-,M6.8程度(簡便な評価),-
2110101,多良岳南西麓断層帯,-,-,M6.8程度(簡便な評価),-
2120101,福良木断層,-,-,M6.8程度(簡便な評価),-
2130101,阿蘇外輪南麓断層群,-,-,M6.8程度(簡便な評価),-
2140101,鶴木場断層帯,-,-,M6.8程度(簡便な評価),-
2150101,国見岳断層帯,-,-,M6.8程度(簡便な評価),-
2160101,水俣断層帯,-,-,M6.8程度(簡便な評価),-
2170101,鹿児島湾東縁断層帯,-,-,M6.9程度(簡便な評価),-
2180101,鹿児島湾西縁断層帯,-,-,M6.8程度(簡便な評価),-
2190101,池田湖西断層帯,-,-,M6.8程度(簡便な評価),-
3010101,内ノ籠断層,-,-,M6.6程度,Xランク
3020101,片品川左岸断層,-,-,M6.7程度,Aランク
3030101,大久保断層,-,-,M7.0程度以上,Aランク
3040101,太田断層,-,-,M6.9程度,Xランク
3050101,越生断層,-,-,M6.7程度,Xランク
3060101,身延断層,-,-,M7.0程度,Xランク
3070101,伊東沖断層,-,-,M6.7程度,Xランク
3080101,稲取断層帯,-,-,M7.0程度,Xランク
3090101,石廊崎断層,-,-,M6.9-7.0程度,Xランク
3100101,大原湖断層,-,-,M7.5程度,Xランク
3110101,小郡断層,-,-,M7.3程度,Zランク
3120101,弥栄断層,-,-,M7.7程度,S*ランク
3130101,地福断層,-,-,M7.2程度,Xランク
3140101,筒賀断層,-,-,M7.8程度,Xランク
3150101,長者ヶ原-芳井断層,-,-,M7.3程度,Xランク
3160101,宍道（鹿島）断層,-,-,M7.0程度もしくはそれ以上,Zランク(ケース1)、S*ランク(ケース2)
3170101,雨滝-釜戸断層,-,-,M6.7程度,Zランク
3180101,鹿野-吉岡断層,-,-,M7.2程度,Zランク
3190101,日南湖断層,-,-,M6.7程度,Xランク
3200101,宇部南方沖断層,-,-,M6.8程度,Xランク
3210101,岩坪断層,-,-,M6.5程度,Xランク
3220101,宇津戸断層,-,-,M6.7程度,Xランク
3230101,安田断層,-,-,M6.0程度,Xランク
3240101,滝部断層,-,-,M6.1程度,Xランク
3250101,奈古断層,-,-,M6.7程度,Xランク
3260101,栄谷断層,-,-,M6.3程度,Xランク
3270101,黒瀬断層,-,-,M6.0程度,Xランク
3280101,上法軍寺断層,-,-,M6.0程度,Xランク
3290101,上浦－西月ノ宮断層,-,-,M6.5程度,Xランク
3300101,綱附森断層,-,-,M6.7程度,Xランク
3310101,伯耆沖断層帯,-,東部区間,M7.2程度,-
3310102,伯耆沖断層帯,-,中部区間,M7.5程度,-
3310103,伯耆沖断層帯,-,西部区間,M7.2程度,-
3320101,島根半島北方沖断層帯,-,東部区間,M7.3程度,-
3320102,島根半島北方沖断層帯,-,西部区間,M7.0程度,-
3330101,出雲沖断層,-,-,M7.3程度,-
3340101,島前西方沖断層,-,-,M7.2程度,-
3350101,江津沖断層,-,-,M7.1程度,-
3360101,日御碕沖断層帯,-,-,東部区間M7.4程度、西部区間M7.2程度,-
3370101,根滝グリ北方断層帯,-,東部区間,M7.2程度,-
3370102,根滝グリ北方断層帯,-,西部区間,M7.3程度,-
3380101,十六島鼻西方沖断層帯,-,東部区間,M7.4程度,-
3380102,十六島鼻西方沖断層帯,-,中部区間,M7.1程度,-
3380103,十六島鼻西方沖断層帯,-,西部区間,M7.1程度,-
3390101,石見沖南断層,-,-,M7.2程度,-
3400101,石見沖中断層,-,東部区間,M7.0程度,-
3400102,石見沖中断層,-,西部区間,M7.0程度,-
3410101,石見沖北断層,-,-,M7.1程度,-
3420101,浜田沖断層,-,-,M7.2程度,-
3430101,三隅沖断層,-,-,M7.2程度,-
3440101,須佐沖断層帯,-,-,北部区間M7.3程度、南部区間M7.0程度,-
3450101,モドロ岬沖断層帯,-,-,北部区間M7.0程度、南部区間M7.2程度以上,-
3460101,見島近海断層,-,-,M7.1程度,-
3470101,卯持ノ瀬東方断層,-,-,M7.3程度,-
3480101,向津具沖断層,-,-,M7.2程度,-
3490101,角島沖東断層,-,-,M7.3程度以上,-
